clean_utterance_path,embedding_utterance_path,interference_utterance_path,clean_segment,interference_segment,segment_length
datasets/LibriSpeech/dev-clean/5338/284437/5338-284437-0021.flac,datasets/LibriSpeech/dev-clean/5338/284437/5338-284437-0028.flac,datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0045.flac,7635,103508,3
datasets/LibriSpeech/test-clean/1089/134691/1089-134691-0004.flac,datasets/LibriSpeech/test-clean/1089/134691/1089-134691-0012.flac,datasets/LibriSpeech/test-clean/61/70968/61-70968-0060.flac,6987,904,3
datasets/LibriSpeech/dev-clean/777/126732/777-126732-0041.flac,datasets/LibriSpeech/dev-clean/777/126732/777-126732-0005.flac,datasets/LibriSpeech/dev-clean/2078/142845/2078-142845-0034.flac,50616,9620,3
datasets/LibriSpeech/dev-clean/1988/147956/1988-147956-0018.flac,datasets/LibriSpeech/dev-clean/1988/24833/1988-24833-0025.flac,datasets/LibriSpeech/dev-clean/6319/275224/6319-275224-0009.flac,3981,254,3
datasets/LibriSpeech/test-clean/908/31957/908-31957-0022.flac,datasets/LibriSpeech/test-clean/908/157963/908-157963-0018.flac,datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0007.flac,33350,76974,3
datasets/LibriSpeech/test-clean/672/122797/672-122797-0048.flac,datasets/LibriSpeech/test-clean/672/122797/672-122797-0028.flac,datasets/LibriSpeech/test-clean/3570/5695/3570-5695-0011.flac,41107,20202,3
datasets/LibriSpeech/dev-clean/6241/61946/6241-61946-0004.flac,datasets/LibriSpeech/dev-clean/6241/66616/6241-66616-0019.flac,datasets/LibriSpeech/test-clean/4507/16021/4507-16021-0039.flac,15811,158212,3
datasets/LibriSpeech/dev-clean/1462/170145/1462-170145-0004.flac,datasets/LibriSpeech/dev-clean/1462/170145/1462-170145-0014.flac,datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0037.flac,5072,134311,3
datasets/LibriSpeech/dev-clean/3170/137482/3170-137482-0004.flac,datasets/LibriSpeech/dev-clean/3170/137482/3170-137482-0008.flac,datasets/LibriSpeech/dev-clean/3576/138058/3576-138058-0014.flac,2105,110314,3
datasets/LibriSpeech/test-clean/908/31957/908-31957-0007.flac,datasets/LibriSpeech/test-clean/908/157963/908-157963-0003.flac,datasets/LibriSpeech/test-clean/5105/28240/5105-28240-0009.flac,4507,16567,3
datasets/LibriSpeech/dev-clean/84/121550/84-121550-0029.flac,datasets/LibriSpeech/dev-clean/84/121550/84-121550-0023.flac,datasets/LibriSpeech/test-clean/672/122797/672-122797-0070.flac,26735,24542,3
datasets/LibriSpeech/dev-clean/3536/8226/3536-8226-0005.flac,datasets/LibriSpeech/dev-clean/3536/8226/3536-8226-0022.flac,datasets/LibriSpeech/dev-clean/652/130726/652-130726-0008.flac,96674,69599,3
datasets/LibriSpeech/test-clean/3570/5695/3570-5695-0005.flac,datasets/LibriSpeech/test-clean/3570/5696/3570-5696-0002.flac,datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0008.flac,233554,118055,3
datasets/LibriSpeech/test-clean/4077/13751/4077-13751-0020.flac,datasets/LibriSpeech/test-clean/4077/13754/4077-13754-0006.flac,datasets/LibriSpeech/test-clean/7176/92135/7176-92135-0038.flac,2345,62232,3
datasets/LibriSpeech/dev-clean/1673/143397/1673-143397-0004.flac,datasets/LibriSpeech/dev-clean/1673/143396/1673-143396-0008.flac,datasets/LibriSpeech/dev-clean/1988/147956/1988-147956-0004.flac,48205,5828,3
datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0028.flac,datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0012.flac,datasets/LibriSpeech/test-clean/2961/960/2961-960-0010.flac,31016,40721,3
datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0043.flac,datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0004.flac,datasets/LibriSpeech/dev-clean/3081/166546/3081-166546-0054.flac,10239,5425,3
datasets/LibriSpeech/dev-clean/6319/275224/6319-275224-0016.flac,datasets/LibriSpeech/dev-clean/6319/64726/6319-64726-0000.flac,datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0053.flac,10818,203652,3
datasets/LibriSpeech/test-clean/4992/23283/4992-23283-0020.flac,datasets/LibriSpeech/test-clean/4992/23283/4992-23283-0000.flac,datasets/LibriSpeech/test-clean/8230/279154/8230-279154-0043.flac,10981,271946,3
datasets/LibriSpeech/test-clean/1284/1180/1284-1180-0029.flac,datasets/LibriSpeech/test-clean/1284/1181/1284-1181-0008.flac,datasets/LibriSpeech/dev-clean/3081/166546/3081-166546-0087.flac,15759,2921,3
datasets/LibriSpeech/dev-clean/84/121123/84-121123-0002.flac,datasets/LibriSpeech/dev-clean/84/121123/84-121123-0011.flac,datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0002.flac,2964,24114,3
datasets/LibriSpeech/test-clean/7176/88083/7176-88083-0011.flac,datasets/LibriSpeech/test-clean/7176/92135/7176-92135-0001.flac,datasets/LibriSpeech/dev-clean/2035/147960/2035-147960-0003.flac,31651,10713,3
datasets/LibriSpeech/test-clean/4446/2273/4446-2273-0009.flac,datasets/LibriSpeech/test-clean/4446/2275/4446-2275-0027.flac,datasets/LibriSpeech/dev-clean/3170/137482/3170-137482-0018.flac,6181,26252,3
datasets/LibriSpeech/dev-clean/174/84280/174-84280-0008.flac,datasets/LibriSpeech/dev-clean/174/168635/174-168635-0014.flac,datasets/LibriSpeech/test-clean/1221/135767/1221-135767-0000.flac,3438,71395,3
datasets/LibriSpeech/test-clean/237/134493/237-134493-0003.flac,datasets/LibriSpeech/test-clean/237/134500/237-134500-0040.flac,datasets/LibriSpeech/dev-clean/5536/43359/5536-43359-0013.flac,136308,32366,3
datasets/LibriSpeech/test-clean/1995/1836/1995-1836-0008.flac,datasets/LibriSpeech/test-clean/1995/1837/1995-1837-0029.flac,datasets/LibriSpeech/test-clean/1580/141083/1580-141083-0015.flac,54311,1031,3
datasets/LibriSpeech/dev-clean/5536/43358/5536-43358-0008.flac,datasets/LibriSpeech/dev-clean/5536/43363/5536-43363-0013.flac,datasets/LibriSpeech/test-clean/61/70970/61-70970-0001.flac,147361,37393,3
datasets/LibriSpeech/dev-clean/2428/83699/2428-83699-0025.flac,datasets/LibriSpeech/dev-clean/2428/83699/2428-83699-0007.flac,datasets/LibriSpeech/dev-clean/1673/143396/1673-143396-0009.flac,3240,69838,3
datasets/LibriSpeech/dev-clean/3576/138058/3576-138058-0029.flac,datasets/LibriSpeech/dev-clean/3576/138058/3576-138058-0022.flac,datasets/LibriSpeech/dev-clean/5694/64025/5694-64025-0022.flac,58521,7144,3
datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0033.flac,datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0008.flac,datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0068.flac,13064,13497,3
datasets/LibriSpeech/test-clean/237/134500/237-134500-0013.flac,datasets/LibriSpeech/test-clean/237/134500/237-134500-0011.flac,datasets/LibriSpeech/dev-clean/3170/137482/3170-137482-0000.flac,61892,280414,3
datasets/LibriSpeech/dev-clean/2803/161169/2803-161169-0013.flac,datasets/LibriSpeech/dev-clean/2803/161169/2803-161169-0010.flac,datasets/LibriSpeech/dev-clean/6295/244435/6295-244435-0022.flac,70738,65590,3
datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0038.flac,datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0034.flac,datasets/LibriSpeech/dev-clean/6241/66616/6241-66616-0014.flac,107605,50852,3
datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0040.flac,datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0006.flac,datasets/LibriSpeech/test-clean/8555/292519/8555-292519-0010.flac,881,12347,3
datasets/LibriSpeech/test-clean/4507/16021/4507-16021-0039.flac,datasets/LibriSpeech/test-clean/4507/16021/4507-16021-0015.flac,datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0042.flac,89940,60779,3
datasets/LibriSpeech/test-clean/3729/6852/3729-6852-0042.flac,datasets/LibriSpeech/test-clean/3729/6852/3729-6852-0002.flac,datasets/LibriSpeech/dev-clean/2086/149214/2086-149214-0001.flac,168195,8092,3
datasets/LibriSpeech/dev-clean/2428/83705/2428-83705-0041.flac,datasets/LibriSpeech/dev-clean/2428/83699/2428-83699-0040.flac,datasets/LibriSpeech/test-clean/2300/131720/2300-131720-0029.flac,7223,22416,3
datasets/LibriSpeech/dev-clean/3081/166546/3081-166546-0072.flac,datasets/LibriSpeech/dev-clean/3081/166546/3081-166546-0031.flac,datasets/LibriSpeech/dev-clean/174/50561/174-50561-0016.flac,143,45323,3
datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0014.flac,datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0033.flac,datasets/LibriSpeech/test-clean/4077/13754/4077-13754-0009.flac,4871,33850,3
datasets/LibriSpeech/test-clean/5683/32866/5683-32866-0009.flac,datasets/LibriSpeech/test-clean/5683/32865/5683-32865-0013.flac,datasets/LibriSpeech/test-clean/121/123852/121-123852-0000.flac,43083,137044,3
datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0003.flac,datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0016.flac,datasets/LibriSpeech/dev-clean/2086/149220/2086-149220-0029.flac,274845,8944,3
datasets/LibriSpeech/test-clean/3570/5695/3570-5695-0008.flac,datasets/LibriSpeech/test-clean/3570/5695/3570-5695-0012.flac,datasets/LibriSpeech/test-clean/2094/142345/2094-142345-0030.flac,7489,131904,3
datasets/LibriSpeech/dev-clean/8842/302196/8842-302196-0003.flac,datasets/LibriSpeech/dev-clean/8842/304647/8842-304647-0003.flac,datasets/LibriSpeech/test-clean/61/70970/61-70970-0013.flac,5760,8454,3
datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0017.flac,datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0020.flac,datasets/LibriSpeech/test-clean/8230/279154/8230-279154-0016.flac,64560,62018,3
datasets/LibriSpeech/test-clean/121/121726/121-121726-0007.flac,datasets/LibriSpeech/test-clean/121/121726/121-121726-0013.flac,datasets/LibriSpeech/test-clean/1995/1837/1995-1837-0025.flac,1927,34107,3
datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0040.flac,datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0014.flac,datasets/LibriSpeech/dev-clean/2428/83705/2428-83705-0011.flac,29787,775,3
datasets/LibriSpeech/test-clean/4992/23283/4992-23283-0018.flac,datasets/LibriSpeech/test-clean/4992/41806/4992-41806-0014.flac,datasets/LibriSpeech/dev-clean/2902/9006/2902-9006-0014.flac,12958,183859,3
datasets/LibriSpeech/test-clean/1320/122612/1320-122612-0005.flac,datasets/LibriSpeech/test-clean/1320/122617/1320-122617-0024.flac,datasets/LibriSpeech/test-clean/121/127105/121-127105-0031.flac,13386,82747,3
datasets/LibriSpeech/test-clean/2300/131720/2300-131720-0004.flac,datasets/LibriSpeech/test-clean/2300/131720/2300-131720-0041.flac,datasets/LibriSpeech/dev-clean/8297/275154/8297-275154-0027.flac,233476,25517,3
datasets/LibriSpeech/dev-clean/174/168635/174-168635-0012.flac,datasets/LibriSpeech/dev-clean/174/50561/174-50561-0002.flac,datasets/LibriSpeech/dev-clean/5338/24615/5338-24615-0002.flac,31371,69489,3
datasets/LibriSpeech/dev-clean/6319/64726/6319-64726-0010.flac,datasets/LibriSpeech/dev-clean/6319/275224/6319-275224-0005.flac,datasets/LibriSpeech/dev-clean/777/126732/777-126732-0057.flac,13634,55263,3
datasets/LibriSpeech/test-clean/6829/68769/6829-68769-0005.flac,datasets/LibriSpeech/test-clean/6829/68769/6829-68769-0019.flac,datasets/LibriSpeech/dev-clean/3000/15664/3000-15664-0020.flac,44906,4655,3
datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0001.flac,datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0009.flac,datasets/LibriSpeech/test-clean/8463/294825/8463-294825-0006.flac,65901,89873,3
datasets/LibriSpeech/dev-clean/5338/24615/5338-24615-0006.flac,datasets/LibriSpeech/dev-clean/5338/284437/5338-284437-0019.flac,datasets/LibriSpeech/dev-clean/1988/24833/1988-24833-0023.flac,4906,9038,3
datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0025.flac,datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0040.flac,datasets/LibriSpeech/test-clean/1284/1181/1284-1181-0004.flac,24847,12093,3
datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0004.flac,datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0000.flac,datasets/LibriSpeech/dev-clean/2086/149220/2086-149220-0019.flac,18552,24968,3
datasets/LibriSpeech/test-clean/4992/41806/4992-41806-0011.flac,datasets/LibriSpeech/test-clean/4992/41797/4992-41797-0009.flac,datasets/LibriSpeech/dev-clean/652/129742/652-129742-0013.flac,5085,25058,3
datasets/LibriSpeech/dev-clean/1272/135031/1272-135031-0004.flac,datasets/LibriSpeech/dev-clean/1272/135031/1272-135031-0007.flac,datasets/LibriSpeech/test-clean/3729/6852/3729-6852-0009.flac,4221,92948,3
datasets/LibriSpeech/dev-clean/251/137823/251-137823-0022.flac,datasets/LibriSpeech/dev-clean/251/136532/251-136532-0007.flac,datasets/LibriSpeech/dev-clean/1919/142785/1919-142785-0025.flac,23564,48522,3
datasets/LibriSpeech/test-clean/4446/2271/4446-2271-0008.flac,datasets/LibriSpeech/test-clean/4446/2273/4446-2273-0008.flac,datasets/LibriSpeech/dev-clean/5338/24615/5338-24615-0006.flac,33591,103854,3
datasets/LibriSpeech/test-clean/4446/2271/4446-2271-0017.flac,datasets/LibriSpeech/test-clean/4446/2273/4446-2273-0017.flac,datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0042.flac,89384,105489,3
datasets/LibriSpeech/test-clean/260/123286/260-123286-0008.flac,datasets/LibriSpeech/test-clean/260/123286/260-123286-0027.flac,datasets/LibriSpeech/dev-clean/8297/275155/8297-275155-0022.flac,72,22394,3
datasets/LibriSpeech/test-clean/1580/141083/1580-141083-0045.flac,datasets/LibriSpeech/test-clean/1580/141083/1580-141083-0036.flac,datasets/LibriSpeech/dev-clean/422/122949/422-122949-0005.flac,2767,28317,3
datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0035.flac,datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0031.flac,datasets/LibriSpeech/dev-clean/2412/153947/2412-153947-0009.flac,105265,66160,3
datasets/LibriSpeech/dev-clean/422/122949/422-122949-0033.flac,datasets/LibriSpeech/dev-clean/422/122949/422-122949-0001.flac,datasets/LibriSpeech/dev-clean/1919/142785/1919-142785-0005.flac,8472,65768,3
datasets/LibriSpeech/dev-clean/5536/43359/5536-43359-0001.flac,datasets/LibriSpeech/dev-clean/5536/43359/5536-43359-0016.flac,datasets/LibriSpeech/test-clean/2961/960/2961-960-0007.flac,54484,34122,3
datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0054.flac,datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0031.flac,datasets/LibriSpeech/dev-clean/1272/128104/1272-128104-0004.flac,5913,202596,3
datasets/LibriSpeech/dev-clean/6241/66616/6241-66616-0009.flac,datasets/LibriSpeech/dev-clean/6241/61943/6241-61943-0015.flac,datasets/LibriSpeech/test-clean/1221/135766/1221-135766-0008.flac,71034,80107,3
datasets/LibriSpeech/test-clean/908/31957/908-31957-0001.flac,datasets/LibriSpeech/test-clean/908/157963/908-157963-0024.flac,datasets/LibriSpeech/dev-clean/652/129742/652-129742-0020.flac,37281,8630,3
datasets/LibriSpeech/dev-clean/2277/149874/2277-149874-0001.flac,datasets/LibriSpeech/dev-clean/2277/149874/2277-149874-0010.flac,datasets/LibriSpeech/dev-clean/6345/93306/6345-93306-0017.flac,38391,2803,3
datasets/LibriSpeech/dev-clean/6241/66616/6241-66616-0002.flac,datasets/LibriSpeech/dev-clean/6241/61946/6241-61946-0004.flac,datasets/LibriSpeech/test-clean/1320/122617/1320-122617-0006.flac,1290,24522,3
datasets/LibriSpeech/test-clean/7127/75947/7127-75947-0018.flac,datasets/LibriSpeech/test-clean/7127/75947/7127-75947-0031.flac,datasets/LibriSpeech/test-clean/672/122797/672-122797-0051.flac,2143,1613,3
datasets/LibriSpeech/dev-clean/422/122949/422-122949-0015.flac,datasets/LibriSpeech/dev-clean/422/122949/422-122949-0009.flac,datasets/LibriSpeech/test-clean/1580/141083/1580-141083-0013.flac,53387,426,3
datasets/LibriSpeech/test-clean/7021/79730/7021-79730-0008.flac,datasets/LibriSpeech/test-clean/7021/79730/7021-79730-0006.flac,datasets/LibriSpeech/test-clean/121/127105/121-127105-0020.flac,58047,36642,3
datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0010.flac,datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0041.flac,datasets/LibriSpeech/test-clean/8230/279154/8230-279154-0021.flac,27494,23856,3
datasets/LibriSpeech/test-clean/121/127105/121-127105-0034.flac,datasets/LibriSpeech/test-clean/121/123859/121-123859-0004.flac,datasets/LibriSpeech/dev-clean/1673/143396/1673-143396-0003.flac,15624,63059,3
datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0056.flac,datasets/LibriSpeech/dev-clean/3853/163249/3853-163249-0041.flac,datasets/LibriSpeech/test-clean/8463/287645/8463-287645-0012.flac,5884,9003,3
datasets/LibriSpeech/dev-clean/5536/43363/5536-43363-0002.flac,datasets/LibriSpeech/dev-clean/5536/43363/5536-43363-0006.flac,datasets/LibriSpeech/dev-clean/3576/138058/3576-138058-0017.flac,42790,51374,3
datasets/LibriSpeech/dev-clean/251/118436/251-118436-0014.flac,datasets/LibriSpeech/dev-clean/251/136532/251-136532-0001.flac,datasets/LibriSpeech/dev-clean/652/130726/652-130726-0003.flac,27865,1763,3
datasets/LibriSpeech/test-clean/1580/141083/1580-141083-0010.flac,datasets/LibriSpeech/test-clean/1580/141083/1580-141083-0037.flac,datasets/LibriSpeech/dev-clean/2803/154328/2803-154328-0018.flac,9118,19003,3
datasets/LibriSpeech/test-clean/672/122797/672-122797-0067.flac,datasets/LibriSpeech/test-clean/672/122797/672-122797-0054.flac,datasets/LibriSpeech/test-clean/7021/85628/7021-85628-0009.flac,129605,17480,3
datasets/LibriSpeech/test-clean/7127/75947/7127-75947-0029.flac,datasets/LibriSpeech/test-clean/7127/75946/7127-75946-0008.flac,datasets/LibriSpeech/dev-clean/777/126732/777-126732-0015.flac,5028,85676,3
datasets/LibriSpeech/test-clean/908/31957/908-31957-0012.flac,datasets/LibriSpeech/test-clean/908/157963/908-157963-0003.flac,datasets/LibriSpeech/test-clean/3729/6852/3729-6852-0001.flac,28026,85695,3
datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0000.flac,datasets/LibriSpeech/test-clean/4992/41806/4992-41806-0001.flac,42487,10290,3
datasets/LibriSpeech/test-clean/6829/68771/6829-68771-0015.flac,datasets/LibriSpeech/test-clean/6829/68771/6829-68771-0000.flac,datasets/LibriSpeech/dev-clean/1462/170138/1462-170138-0014.flac,7943,13357,3
datasets/LibriSpeech/dev-clean/6313/76958/6313-76958-0021.flac,datasets/LibriSpeech/dev-clean/6313/76958/6313-76958-0009.flac,datasets/LibriSpeech/dev-clean/174/168635/174-168635-0005.flac,79640,32424,3
datasets/LibriSpeech/test-clean/3729/6852/3729-6852-0035.flac,datasets/LibriSpeech/test-clean/3729/6852/3729-6852-0013.flac,datasets/LibriSpeech/test-clean/4970/29093/4970-29093-0005.flac,231200,146382,3
datasets/LibriSpeech/test-clean/5683/32865/5683-32865-0011.flac,datasets/LibriSpeech/test-clean/5683/32866/5683-32866-0020.flac,datasets/LibriSpeech/test-clean/121/127105/121-127105-0002.flac,14497,52375,3
datasets/LibriSpeech/test-clean/7176/88083/7176-88083-0003.flac,datasets/LibriSpeech/test-clean/7176/92135/7176-92135-0011.flac,datasets/LibriSpeech/dev-clean/3536/23268/3536-23268-0015.flac,3161,2976,3
datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0023.flac,datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0002.flac,datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0024.flac,20288,363,3
datasets/LibriSpeech/dev-clean/6295/244435/6295-244435-0037.flac,datasets/LibriSpeech/dev-clean/6295/244435/6295-244435-0010.flac,datasets/LibriSpeech/dev-clean/6319/57405/6319-57405-0002.flac,728,14499,3
datasets/LibriSpeech/dev-clean/5536/43359/5536-43359-0006.flac,datasets/LibriSpeech/dev-clean/5536/43358/5536-43358-0009.flac,datasets/LibriSpeech/dev-clean/2412/153954/2412-153954-0009.flac,425,83116,3
datasets/LibriSpeech/test-clean/5105/28241/5105-28241-0002.flac,datasets/LibriSpeech/test-clean/5105/28240/5105-28240-0006.flac,datasets/LibriSpeech/test-clean/7176/88083/7176-88083-0010.flac,51692,22966,3
datasets/LibriSpeech/test-clean/2961/961/2961-961-0008.flac,datasets/LibriSpeech/test-clean/2961/960/2961-960-0010.flac,datasets/LibriSpeech/test-clean/4077/13754/4077-13754-0002.flac,31984,140860,3
datasets/LibriSpeech/test-clean/2300/131720/2300-131720-0027.flac,datasets/LibriSpeech/test-clean/2300/131720/2300-131720-0040.flac,datasets/LibriSpeech/dev-clean/8842/302201/8842-302201-0004.flac,70954,41960,3
datasets/LibriSpeech/dev-clean/3081/166546/3081-166546-0054.flac,datasets/LibriSpeech/dev-clean/3081/166546/3081-166546-0065.flac,datasets/LibriSpeech/test-clean/121/127105/121-127105-0000.flac,900,55261,3
datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0009.flac,datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0008.flac,datasets/LibriSpeech/dev-clean/5694/64038/5694-64038-0025.flac,196881,10987,3
datasets/LibriSpeech/dev-clean/6345/64257/6345-64257-0004.flac,datasets/LibriSpeech/dev-clean/6345/93302/6345-93302-0021.flac,datasets/LibriSpeech/dev-clean/5536/43363/5536-43363-0014.flac,7524,39780,3
datasets/LibriSpeech/test-clean/1995/1826/1995-1826-0022.flac,datasets/LibriSpeech/test-clean/1995/1826/1995-1826-0005.flac,datasets/LibriSpeech/dev-clean/2412/153954/2412-153954-0015.flac,7122,77116,3
datasets/LibriSpeech/test-clean/4446/2275/4446-2275-0041.flac,datasets/LibriSpeech/test-clean/4446/2273/4446-2273-0025.flac,datasets/LibriSpeech/test-clean/2961/961/2961-961-0019.flac,7907,57935,3
datasets/LibriSpeech/test-clean/4446/2271/4446-2271-0019.flac,datasets/LibriSpeech/test-clean/4446/2275/4446-2275-0038.flac,datasets/LibriSpeech/dev-clean/422/122949/422-122949-0001.flac,1080,135218,3
datasets/LibriSpeech/dev-clean/5536/43363/5536-43363-0002.flac,datasets/LibriSpeech/dev-clean/5536/43358/5536-43358-0007.flac,datasets/LibriSpeech/dev-clean/652/130737/652-130737-0004.flac,30975,14831,3
datasets/LibriSpeech/test-clean/7176/92135/7176-92135-0005.flac,datasets/LibriSpeech/test-clean/7176/92135/7176-92135-0035.flac,datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0032.flac,11685,715,3
datasets/LibriSpeech/test-clean/7021/79740/7021-79740-0000.flac,datasets/LibriSpeech/test-clean/7021/85628/7021-85628-0022.flac,datasets/LibriSpeech/dev-clean/5895/34629/5895-34629-0016.flac,12735,14576,3
datasets/LibriSpeech/test-clean/672/122797/672-122797-0020.flac,datasets/LibriSpeech/test-clean/672/122797/672-122797-0052.flac,datasets/LibriSpeech/test-clean/5142/33396/5142-33396-0022.flac,39792,623,3
datasets/LibriSpeech/dev-clean/5338/24640/5338-24640-0007.flac,datasets/LibriSpeech/dev-clean/5338/24615/5338-24615-0010.flac,datasets/LibriSpeech/test-clean/1188/133604/1188-133604-0044.flac,23840,204843,3
datasets/LibriSpeech/test-clean/6930/81414/6930-81414-0024.flac,datasets/LibriSpeech/test-clean/6930/75918/6930-75918-0015.flac,datasets/LibriSpeech/dev-clean/6313/66125/6313-66125-0022.flac,2436,45029,3
datasets/LibriSpeech/dev-clean/1673/143397/1673-143397-0006.flac,datasets/LibriSpeech/dev-clean/1673/143397/1673-143397-0013.flac,datasets/LibriSpeech/dev-clean/2412/153948/2412-153948-0013.flac,15976,58367,3
datasets/LibriSpeech/dev-clean/6345/64257/6345-64257-0019.flac,datasets/LibriSpeech/dev-clean/6345/93302/6345-93302-0011.flac,datasets/LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,686,27096,3
datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0010.flac,datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0019.flac,datasets/LibriSpeech/dev-clean/7850/281318/7850-281318-0011.flac,4421,49134,3
datasets/LibriSpeech/dev-clean/3752/4944/3752-4944-0001.flac,datasets/LibriSpeech/dev-clean/3752/4943/3752-4943-0022.flac,datasets/LibriSpeech/test-clean/2961/960/2961-960-0012.flac,1424,16806,3
datasets/LibriSpeech/dev-clean/5338/284437/5338-284437-0029.flac,datasets/LibriSpeech/dev-clean/5338/284437/5338-284437-0022.flac,datasets/LibriSpeech/dev-clean/1919/142785/1919-142785-0011.flac,21587,81189,3
datasets/LibriSpeech/test-clean/4077/13751/4077-13751-0002.flac,datasets/LibriSpeech/test-clean/4077/13754/4077-13754-0013.flac,datasets/LibriSpeech/test-clean/8555/284447/8555-284447-0020.flac,18457,5093,3
