clean_utterance_path,embedding_utterance_path,interference_utterance_path,clean_segment,interference_segment,segment_length
datasets/VinBigdata/dataset/49415/49415/vinfast-vsmart-000000185-49415-HaTinh-MienTrung-2001-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/49415/49415/vinfast-vsmart-000002037-49415-HaTinh-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/private-test/24/24/16k_48CVqx9xvkNFTEqtCd36.wav,5256,13207,3
datasets/VinBigdata/dataset/Chuyenpv_cs_1211/Chuyenpv_cs_1211/vinfast-vsmart-000004163-Chuyenpv_cs_1211-NinhBinh-MienBac-1990-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Chuyenpv_cs_1211/Chuyenpv_cs_1211/vinfast-vsmart-000000239-Chuyenpv_cs_1211-NinhBinh-MienBac-1990-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/47112/47112/vinfast-vsmart-000000416-47112-GiaLai-MienTrung-2001-nam-vinfast-vsmart-1.wav,3227,622,3
datasets/VinBigdata/dataset/51976/51976/vinfast-vsmart-000004810-51976-HaTinh-MienTrung-2002-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/51976/51976/vinfast-vsmart-000003339-51976-HaTinh-MienTrung-2002-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/575/575-F-26/16k_575-30.wav,1317,4103,3
datasets/VinBigdata/dataset/45303/45303/vinfast-vsmart-000006572-45303-DakLak-MienTrung-2000-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/45303/45303/vinfast-vsmart-000000927-45303-DakLak-MienTrung-2000-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/private-test/27/27/16k_dBw9q8WKmdt5lA1YYu0a.wav,17942,20489,3
datasets/ZaloAI2020/dataset/446/446-F-28/16k_446-39.wav,datasets/ZaloAI2020/dataset/446/446-F-28/16k_446-8.wav,datasets/VinBigdata/dataset/Binhlt_str_712/Binhlt_str_712/vinfast-vsmart-000000350-Binhlt_str_712-HaiPhong-MienBac-1947-nu-vinfast-vsmart-1.wav,23029,52887,3
datasets/ZaloAI2020/dataset/643/643-M-35/16k_643-21.wav,datasets/ZaloAI2020/dataset/643/643-M-35/16k_643-27.wav,datasets/ZaloAI2020/dataset/735/735-F-35/16k_735-4.wav,61242,109935,3
datasets/ZaloAI2020/dataset/714/714-M-31/16k_714-15.wav,datasets/ZaloAI2020/dataset/714/714-M-31/16k_714-14.wav,datasets/VinBigdata/dataset/Bandth_cf_1712/Bandth_cf_1712/vinfast-vsmart-000004265-Bandth_cf_1712-HaNoi-MienBac-1948-nu-vinfast-vsmart-1.wav,17733,9384,3
datasets/ZaloAI2020/dataset/667/667-F-28/16k_667-11.wav,datasets/ZaloAI2020/dataset/667/667-F-28/16k_667-14.wav,datasets/VinBigdata/dataset/54578/54578/vinfast-vsmart-000004181-54578-HaTinh-MienTrung-1991-nam-vinfast-vsmart.wav,3041,873,3
datasets/VinBigdata/dataset/Chiptla/Chiptla/vinfast-vsmart-000005770-Chiptla-ThanhHoa-MienTrung-1976-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Chiptla/Chiptla/vinfast-vsmart-000003835-Chiptla-ThanhHoa-MienTrung-1976-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/private-test/15/15/16k_8khB4NgYE7E3w8lVwvlI.wav,17960,93319,3
datasets/VinBigdata/dataset/Catthongpham_in_0112/Catthongpham_in_0112/vinfast-vsmart-000003846-Catthongpham_in_0112-CanTho-MienNam-1941-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Catthongpham_in_0112/Catthongpham_in_0112/vinfast-vsmart-000001139-Catthongpham_in_0112-CanTho-MienNam-1941-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Ctmyhiep_vt/Ctmyhiep_vt/vinfast-vsmart-000000746-Ctmyhiep_vt-QuangBinh-MienTrung-1950-nu-vinfast-vsmart-1.wav,40628,1676,3
datasets/ZaloAI2020/dataset/590/590-F-29/16k_590.wav,datasets/ZaloAI2020/dataset/590/590-F-29/16k_590-6.wav,datasets/VinBigdata/dataset/Anh02/Anh02/vinfast-vsmart-000008206-Anh02-DaNang-MienTrung-2002-nu-vinfast-vsmart-1.wav,11443,2883,3
datasets/ZaloAI2020/dataset/704/704-M-34/16k_704-24.wav,datasets/ZaloAI2020/dataset/704/704-M-34/16k_704-27.wav,datasets/ZaloAI2020/dataset/514/514-F-27/16k_514-22.wav,29676,12139,3
datasets/ZaloAI2020/private-test/18/18/16k_9lmPjG1tb6umZ3dSk1iw.wav,datasets/ZaloAI2020/private-test/18/18/16k_p3jbBUgwXYZR1VgV10m2.wav,datasets/VinBigdata/dataset/Buihuy/Buihuy/vinfast-vsmart-000004579-Buihuy-KonTum-MienTrung-2002-nam-vinfast-vsmart-1.wav,3980,395,3
datasets/VinBigdata/dataset/47805/47805/vinfast-vsmart-000008118-47805-QuangBinh-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/47805/47805/vinfast-vsmart-000002395-47805-QuangBinh-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/713/713-F-27/16k_713-7.wav,1043,111,3
datasets/ZaloAI2020/dataset/747/747-F-31/16k_747-14.wav,datasets/ZaloAI2020/dataset/747/747-F-31/16k_747-11.wav,datasets/ZaloAI2020/private-test/9/9/16k_u4qMvF8KxiA7se7koGH4.wav,147171,60254,3
datasets/VinBigdata/dataset/50070/50070/vinfast-vsmart-000004739-50070-GiaLai-MienTrung-2000-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/50070/50070/vinfast-vsmart-000006500-50070-GiaLai-MienTrung-2000-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/718/718-M-34/16k_718.wav,1596,16513,3
datasets/VinBigdata/dataset/54773/54773/vinfast-vsmart-000002131-54773-QuangNgai-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/54773/54773/vinfast-vsmart-000000053-54773-QuangNgai-MienTrung-2002-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/52005/52005/vinfast-vsmart-000005487-52005-GiaLai-MienTrung-1990-nam-vinfast-vsmart-1.wav,2374,1003,3
datasets/VinBigdata/dataset/Cuong1/Cuong1/vinfast-vsmart-000004475-Cuong1-QuangNgai-MienTrung-2000-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Cuong1/Cuong1/vinfast-vsmart-000001349-Cuong1-QuangNgai-MienTrung-2000-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Bandth_cf_1712/Bandth_cf_1712/vinfast-vsmart-000004764-Bandth_cf_1712-HaNoi-MienBac-1948-nu-vinfast-vsmart-1.wav,10553,16380,3
datasets/VinBigdata/dataset/52514/52514/vinfast-vsmart-000003925-52514-QuangNgai-MienTrung-1990-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/52514/52514/vinfast-vsmart-000000624-52514-QuangNgai-MienTrung-1990-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/47146/47146/vinfast-vsmart-000006319-47146-PhuYen-MienTrung-2001-nam-vinfast-vsmart-1.wav,2615,549,3
datasets/VinBigdata/dataset/Anhp_hr_1712/Anhp_hr_1712/vinfast-vsmart-000005514-Anhp_hr_1712-HaNoi-MienBac-1974-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Anhp_hr_1712/Anhp_hr_1712/vinfast-vsmart-000004315-Anhp_hr_1712-HaNoi-MienBac-1974-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Buikimhiep_in_1611/Buikimhiep_in_1611/vinfast-vsmart-000005295-Buikimhiep_in_1611-TPHoChiMinh-MienNam-1955-nam-vinfast-vsmart.wav,68,6277,3
datasets/ZaloAI2020/dataset/48/48-M-34/16k_48-9.wav,datasets/ZaloAI2020/dataset/48/48-M-34/16k_48-8.wav,datasets/VinBigdata/dataset/Athu/Athu/vinfast-vsmart-000004741-Athu-DaNang-MienTrung-1996-nu-vinfast-vsmart-1.wav,73829,2915,3
datasets/ZaloAI2020/dataset/774/774-M-30/16k_774-16.wav,datasets/ZaloAI2020/dataset/774/774-M-30/16k_774-12.wav,datasets/VinBigdata/dataset/47418/47418/vinfast-vsmart-000002791-47418-BinhDinh-MienTrung-2001-nu-vinfast-vsmart.wav,23489,75803,3
datasets/VinBigdata/dataset/54749/54749/vinfast-vsmart-000004370-54749-DaNang-MienTrung-1994-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/54749/54749/vinfast-vsmart-000004232-54749-DaNang-MienTrung-1994-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/private-test/43/43/16k_S3sXXr7mUxeU9qU18ngG.wav,16556,5884,3
datasets/VinBigdata/dataset/55042/55042/vinfast-vsmart-000004046-55042-HaTinh-MienTrung-2020-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/55042/55042/vinfast-vsmart-000005033-55042-HaTinh-MienTrung-2020-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/755/755-F-27/16k_755-7.wav,67079,1555,3
datasets/ZaloAI2020/dataset/602/602-F-37/16k_602-10.wav,datasets/ZaloAI2020/dataset/602/602-F-37/16k_602-4.wav,datasets/ZaloAI2020/dataset/666/666-F-30/16k_666-5.wav,19411,9864,3
datasets/ZaloAI2020/dataset/576/576-F-25/16k_576-F-25.wav,datasets/ZaloAI2020/dataset/576/576-F-25/16k_576-14.wav,datasets/ZaloAI2020/dataset/658/658-M-43/16k_658-27.wav,897,16182,3
datasets/VinBigdata/dataset/Anhdm_cr_712/Anhdm_cr_712/vinfast-vsmart-000004936-Anhdm_cr_712-HaNoi-MienBac-1985-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Anhdm_cr_712/Anhdm_cr_712/vinfast-vsmart-000001869-Anhdm_cr_712-HaNoi-MienBac-1985-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/635/635-F-27/16k_635-F-27.wav,36555,17724,3
datasets/VinBigdata/dataset/58421/58421/vinfast-vsmart-000000458-58421-DaNang-MienTrung-1994-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/58421/58421/vinfast-vsmart-000001974-58421-DaNang-MienTrung-1994-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/46623/46623/vinfast-vsmart-000001829-46623-PhuYen-MienTrung-2001-nu-vinfast-vsmart-1.wav,8195,744,3
datasets/ZaloAI2020/dataset/780/780-M-30/16k_780.wav,datasets/ZaloAI2020/dataset/780/780-M-30/16k_780-8.wav,datasets/VinBigdata/dataset/43237/43237/vinfast-vsmart-000000269-43237-KonTum-MienTrung-2000-nam-vinfast-vsmart-1.wav,5039,1230,3
datasets/ZaloAI2020/dataset/758/758-M-27/16k_758-17.wav,datasets/ZaloAI2020/dataset/758/758-M-27/16k_758-10.wav,datasets/ZaloAI2020/dataset/734/734-M-41/16k_734-3.wav,17667,37480,3
datasets/ZaloAI2020/dataset/518/518-M-32/16k_518.wav,datasets/ZaloAI2020/dataset/518/518-M-32/16k_518-21.wav,datasets/ZaloAI2020/dataset/99/99-F-40/16k_99-9.wav,3872,339921,3
datasets/ZaloAI2020/dataset/700/700-M-40/16k_700.wav,datasets/ZaloAI2020/dataset/700/700-M-40/16k_700-26.wav,datasets/VinBigdata/dataset/54105/54105/vinfast-vsmart-000007519-54105-KhanhHoa-MienTrung-2002-nu-vinfast-vsmart.wav,20020,11945,3
datasets/ZaloAI2020/dataset/83/83-F-25/16k_83-11.wav,datasets/ZaloAI2020/dataset/83/83-F-25/16k_83-3.wav,datasets/VinBigdata/dataset/Chauvinhduc_cf_251120/Chauvinhduc_cf_251120/vinfast-vsmart-000003310-Chauvinhduc_cf_251120-TPHoChiMinh-MienNam-1947-nam-vinfast-vsmart-1.wav,31608,4664,3
datasets/VinBigdata/dataset/47732/47732/vinfast-vsmart-000003871-47732-DakLak-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/47732/47732/vinfast-vsmart-000003776-47732-DakLak-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/472/472-M-27/16k_472-17.wav,1688,4430,3
datasets/VinBigdata/dataset/53440/53440/vinfast-vsmart-000001484-53440-QuangTri-MienTrung-2002-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/53440/53440/vinfast-vsmart-000000877-53440-QuangTri-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/722/722-M-32/16k_722-7.wav,49697,305,3
datasets/VinBigdata/dataset/Buithithe/Buithithe/vinfast-vsmart-000003626-Buithithe-QuangTri-MienTrung-1940-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/Buithithe/Buithithe/vinfast-vsmart-000004046-Buithithe-QuangTri-MienTrung-1940-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Baovn_str_2212/Baovn_str_2212/vinfast-vsmart-000003088-Baovn_str_2212-VinhPhuc-MienBac-1950-nam-vinfast-vsmart-1.wav,38996,160,3
datasets/VinBigdata/dataset/51673/51673/vinfast-vsmart-000003941-51673-HaTinh-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/51673/51673/vinfast-vsmart-000000462-51673-HaTinh-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Anhdm_cr_712/Anhdm_cr_712/vinfast-vsmart-000001869-Anhdm_cr_712-HaNoi-MienBac-1985-nu-vinfast-vsmart-1.wav,5489,39906,3
datasets/VinBigdata/dataset/Chind_in_1911/Chind_in_1911/vinfast-vsmart-000003740-Chind_in_1911-HaNoi-MienBac-1937-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Chind_in_1911/Chind_in_1911/vinfast-vsmart-000007272-Chind_in_1911-HaNoi-MienBac-1937-nam-vinfast-vsmart.wav,datasets/VinBigdata/dataset/52413/52413/vinfast-vsmart-000006582-52413-NgheAn-MienTrung-2002-nu-vinfast-vsmart.wav,18007,1722,3
datasets/VinBigdata/dataset/Bicha/Bicha/vinfast-vsmart-000004013-Bicha-DaNang-MienTrung-1975-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Bicha/Bicha/vinfast-vsmart-000005432-Bicha-DaNang-MienTrung-1975-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/447/447-M-28/16k_447-32.wav,12608,13468,3
datasets/VinBigdata/dataset/Binha/Binha/vinfast-vsmart-000000191-Binha-DaNang-MienTrung-1975-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Binha/Binha/vinfast-vsmart-000006669-Binha-DaNang-MienTrung-1975-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Buivanan/Buivanan/vinfast-vsmart-000003921-Buivanan-QuangTri-MienTrung-1942-nam-vinfast-vsmart-1.wav,7002,2619,3
datasets/ZaloAI2020/dataset/513/513-M-31/16k_513-24.wav,datasets/ZaloAI2020/dataset/513/513-M-31/16k_513-2.wav,datasets/VinBigdata/dataset/Anhnk_cr_712/Anhnk_cr_712/vinfast-vsmart-000001316-Anhnk_cr_712-HaNoi-MienBac-1975-nu-vinfast-vsmart-1.wav,516,6775,3
datasets/ZaloAI2020/dataset/7/7-F-40/16k_7-5.wav,datasets/ZaloAI2020/dataset/7/7-F-40/16k_7-18.wav,datasets/ZaloAI2020/dataset/637/637-F-30/16k_637.wav,2060,7617,3
datasets/VinBigdata/dataset/Bon_in_2912/Bon_in_2912/vinfast-vsmart-000003654-Bon_in_2912-TPHoChiMinh-MienNam-1955-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Bon_in_2912/Bon_in_2912/vinfast-vsmart-000005355-Bon_in_2912-TPHoChiMinh-MienNam-1955-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/498/498-M-27/16k_498-16.wav,2556,8244,3
datasets/VinBigdata/dataset/Buivanan/Buivanan/vinfast-vsmart-000003921-Buivanan-QuangTri-MienTrung-1942-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Buivanan/Buivanan/vinfast-vsmart-000007580-Buivanan-QuangTri-MienTrung-1942-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/52509/52509/vinfast-vsmart-000004158-52509-PhuYen-MienTrung-2002-nam-vinfast-vsmart-1.wav,673,5835,3
datasets/VinBigdata/dataset/53949/53949/vinfast-vsmart-000004564-53949-DakLak-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/53949/53949/vinfast-vsmart-000000716-53949-DakLak-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/588/588-F-27/16k_588-14.wav,3752,42105,3
datasets/VinBigdata/dataset/Binhpt_cf_2612/Binhpt_cf_2612/vinfast-vsmart-000001918-Binhpt_cf_2612-HaNoi-MienBac-1950-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Binhpt_cf_2612/Binhpt_cf_2612/vinfast-vsmart-000006947-Binhpt_cf_2612-HaNoi-MienBac-1950-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/707/707-F-35/16k_707-8.wav,2083,2598,3
datasets/ZaloAI2020/dataset/660/660-F-34/16k_660-25.wav,datasets/ZaloAI2020/dataset/660/660-F-34/16k_660-2.wav,datasets/VinBigdata/dataset/43275/43275/vinfast-vsmart-000004203-43275-PhuYen-MienTrung-1995-nam-vinfast-vsmart-1.wav,10117,2498,3
datasets/ZaloAI2020/dataset/794/794-M-30/16k_794-6.wav,datasets/ZaloAI2020/dataset/794/794-M-30/16k_794-18.wav,datasets/ZaloAI2020/dataset/92/92-M-33/16k_92-21.wav,44225,6913,3
datasets/VinBigdata/dataset/Cuongnn_cr_2712/Cuongnn_cr_2712/vinfast-vsmart-000005916-Cuongnn_cr_2712-HaNoi-MienBac-2001-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Cuongnn_cr_2712/Cuongnn_cr_2712/vinfast-vsmart-000003340-Cuongnn_cr_2712-HaNoi-MienBac-2001-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/733/733-F-26/16k_733-2.wav,874,4474,3
datasets/ZaloAI2020/dataset/453/453-F-27/16k_453-32.wav,datasets/ZaloAI2020/dataset/453/453-F-27/16k_453-20.wav,datasets/VinBigdata/dataset/54291/54291/vinfast-vsmart-000004592-54291-GiaLai-MienTrung-2002-nu-vinfast-vsmart-1.wav,12280,5420,3
datasets/ZaloAI2020/dataset/80/80-M-34/16k_80-19.wav,datasets/ZaloAI2020/dataset/80/80-M-34/16k_80-28.wav,datasets/ZaloAI2020/dataset/617/617-F-26/16k_617-9.wav,30701,1105,3
datasets/ZaloAI2020/dataset/63/63-F-27/16k_63-13.wav,datasets/ZaloAI2020/dataset/63/63-F-27/16k_63-19.wav,datasets/VinBigdata/dataset/49553/49553/vinfast-vsmart-000008446-49553-QuangBinh-MienTrung-2001-nam-vinfast-vsmart-1.wav,46672,45,3
datasets/ZaloAI2020/dataset/573/573-F-28/16k_573-20.wav,datasets/ZaloAI2020/dataset/573/573-F-28/16k_573-8.wav,datasets/ZaloAI2020/dataset/67/67-F-26/16k_67-21.wav,54147,44180,3
datasets/ZaloAI2020/dataset/640/640-M-54/16k_640-3.wav,datasets/ZaloAI2020/dataset/640/640-M-54/16k_640-22.wav,datasets/VinBigdata/dataset/Binhpt_cf_2612/Binhpt_cf_2612/vinfast-vsmart-000000976-Binhpt_cf_2612-HaNoi-MienBac-1950-nu-vinfast-vsmart-1.wav,74267,1343,3
datasets/VinBigdata/dataset/Anhtm_cr_512/Anhtm_cr_512/vinfast-vsmart-000003321-Anhtm_cr_512-HaNoi-MienBac-2000-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Anhtm_cr_512/Anhtm_cr_512/vinfast-vsmart-000000115-Anhtm_cr_512-HaNoi-MienBac-2000-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/586/586-F-35/16k_586-20.wav,47501,1715,3
datasets/VinBigdata/dataset/54836/54836/vinfast-vsmart-000004868-54836-NgheAn-MienTrung-1995-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/54836/54836/vinfast-vsmart-000000130-54836-NgheAn-MienTrung-1995-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/734/734-M-41/16k_734-8.wav,14302,33752,3
datasets/ZaloAI2020/dataset/457/457-M-36/16k_457-30.wav,datasets/ZaloAI2020/dataset/457/457-M-36/16k_457-20.wav,datasets/ZaloAI2020/dataset/526/526-F-24/16k_526-24.wav,14926,17224,3
datasets/VinBigdata/dataset/Bon_in_2912/Bon_in_2912/vinfast-vsmart-000002820-Bon_in_2912-TPHoChiMinh-MienNam-1955-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Bon_in_2912/Bon_in_2912/vinfast-vsmart-000005355-Bon_in_2912-TPHoChiMinh-MienNam-1955-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/41459/41459/vinfast-vsmart-000006094-41459-PhuYen-MienTrung-1991-nam-vinfast-vsmart-1.wav,9517,11092,3
datasets/ZaloAI2020/dataset/706/706-M-41/727-F-35/16k_727-7.wav,datasets/ZaloAI2020/dataset/706/706-M-41/16k_706-9.wav,datasets/ZaloAI2020/dataset/439/439-F-38/16k_439-32.wav,21734,3747,3
